id,destination,country,category,subcategory,name,address,latitude,longitude,phone,email,website,opening_hours,price,description,source_url,source_listing_id,scraped_at
dfdd8e7374609c53,Marrakech,Morocco,see,,Marrakech Tourist Information,,31.635556,-8.014167,,,,,,,https://en.wikivoyage.org/wiki/Marrakech,Marrakech_Tourist_Information,2026-09-18T13:31:47+00:00
43435ae4924e0b8e,Marrakech,Morocco,do,By plane,Marrakech-Menara Airport,,31.60113,-8.0267,+21244447910,,http://www.onda.ma/,,,"Marrakech-Menara Airport has two terminals housed in one complex. Both terminals have money exchange offices, and there is an ATM in the arrivals hall of Terminal 2. On ATMs, check for the Maestro, Cirrus or Plus logos to be sure that the machine accepts foreign credit cards. Some ATMs work only in French. If your card is taken at the ATM, tell airport security and they can help you get it back.…",https://en.wikivoyage.org/wiki/Marrakech,Marrakech-Menara_Airport,2026-09-18T13:31:47+00:00
888072d9b88512e4,Marrakech,Morocco,buy,Desert trekking,Les établissements Bouchaïb,"7, Derb Baïssi Kasbah Boutouil",31.61594,-7.98891,+212524381853,,http://www.complexeartisanal.com/,,Check out the prices on the webpage before you go to get and idea of the cost of the items you are interested in,"Huge two-story store with fixed prices. Carpets, spices, argon oil, jewelry, ceramics, furniture, wood handcrafts, etc.",https://en.wikivoyage.org/wiki/Marrakech,Les_établissements_Bouchaïb,2026-09-18T13:31:47+00:00
71a6194d9d097027,Marrakech,Morocco,eat,Budget,Chez Chegrouni,Avenue Jamaa El Fna,31.626675,-7.98706,,,,,30 dirham,Their vegetarian couscous is supposedly the only true vegetarian couscous in town; it's also bland but they give you plenty of it. Prices go up if you sit on the terrace. Usually packed full of good-time tourists.,https://en.wikivoyage.org/wiki/Marrakech,Chez_Chegrouni,2026-09-18T13:31:47+00:00
74b5065ac4285fdf,Marrakech,Morocco,drink,Splurge,Chesterfield Pub,115 Avenue Mohammed V,31.634722,-8.012635,,,,09:00-01:00,,"A slightly unusual experience, apparently an 'English pub' it serves Moroccan lager and has an outside pool in a courtyard with palm trees, not an entirely English experience. Much less touristy than it sounds with a mainly local clientele. It serves a decent pint.",https://en.wikivoyage.org/wiki/Marrakech,Chesterfield_Pub,2026-09-18T13:31:47+00:00
3a238f830dd2e319,Marrakech,Morocco,sleep,Splurge,Dar Attajmil,"Marrakech-Medina, 23 Rue Laksour, Bab Laksour",31.627528,-7.992106,+212524426966,contact@darattajmil.com,http://www.darattajmil.com/en/home,,€80-110/night in B&B,"Centrally located and easy to reach, Dar Attajmil has a sand colored courtyard shaded by a tall banana tree; 4 double rooms with bathroom, 1 family suite with private courtyard, several cozy sitting areas, fireplace and library, a large terrace garden where breakfast and meals are served and a devoted team of 5 lovely persons; hammam, massages, cooking class available. Owner organic farm near Ess…",https://en.wikivoyage.org/wiki/Marrakech,Dar_Attajmil,2026-09-18T13:31:47+00:00
bc1645b2e4c483ef,Paris,France,do,By bus,Blablacar Bus,"48 bis Boulevard de Bercy, 75012 Paris",48.83835,2.38258,,,https://www.blablacar.fr/bus,,,"A subsidiary of the SNCF, offering routes between Paris and London, Brussels, Amsterdam, Milan, Turin, along with other cities and towns in France.",https://en.wikivoyage.org/wiki/Paris,Blablacar_Bus,2026-09-18T13:31:49+00:00
b2211df34764540c,Paris,France,see,Landmarks,Eiffel Tower,,48.858,2.2953,,,,,,No other monument better symbolizes Paris.,https://en.wikivoyage.org/wiki/Paris,Eiffel_Tower,2026-09-18T13:31:49+00:00
8d47fc19cc943285,Barcelona,Spain,see,Visitor information,Tourist office at Plaça de Catalunya,"Plaça de Catalunya, 17-S",41.386803,2.170723,,,http://www.barcelonaturisme.com/wv3/en/page/38/tourist-information-points.html,08:30-20:30,,This is the main tourist office in the city.,https://en.wikivoyage.org/wiki/Barcelona,Tourist_office_at_Plaça_de_Catalunya,2026-09-18T13:31:51+00:00
9bec5e4993b5db51,Barcelona,Spain,do,With children,Aeri del Port de Barcelona,"C/ Taquígrafo Garriga, 97 – Esc.B -2º9ª",41.371004,2.172407,+34934304716,tebarsa@hotmail.com,http://www.telefericodebarcelona.com/en/home,"Jun-Aug 11:00-20:00; Mar-May, Sep-Oct 11:00-19:00; Nov-Feb 11:00-17:30","single €11, return €16.50; it's not a part of Barcelona's integrated fare network",Have a ride at Port Vell Aerial Tramway. Port Vell Aerial Tramway is the 1450-metre-long harbour aerial tramway with red cars connects,https://en.wikivoyage.org/wiki/Barcelona,Aeri_del_Port_de_Barcelona,2026-09-18T13:31:51+00:00
8f4b2bf6309696ee,Barcelona,Spain,buy,Festivals and events,El Corte Inglés,,,,,,http://www.elcorteingles.es/,,,"Spanning several floors and several buildings, and in several locations around town, many in",https://en.wikivoyage.org/wiki/Barcelona,El_Corte_Inglés,2026-09-18T13:31:51+00:00
53cb16def2b961b8,Barcelona,Spain,eat,Food tours,Barcelona Eat Local Food Tours,"Hurtado 28 Barcelona, 08022",,,+18006560713,,,,,A family-owned business that showcases the best of Catalan gastronomy in off-the-beaten districts of Barcelona.,https://en.wikivoyage.org/wiki/Barcelona,Barcelona_Eat_Local_Food_Tours,2026-09-18T13:31:51+00:00
97680e5e2d5d0214,Rome,Italy,do,By plane,Leonardo da Vinci-Fiumicino Airport,,41.7956,12.2499,,,http://www.adr.it/fiumicino,,,"Rome's main airport is modern, spacious, efficient, and well-connected to the city centre. A lot of carriers fly to this Airport. Also, low-cost carriers have flight to and from FCO Airport, like",https://en.wikivoyage.org/wiki/Rome,Leonardo_da_Vinci-Fiumicino_Airport,2026-09-18T13:31:53+00:00
25e07432c28e8387,Rome,Italy,buy,Events,Castel Romano,,,,,,https://www.mcarthurglen.com/it/castel-romano-designer-outlet/en,,,"Near Rome, along the Via Pontina highway. A very large Factory Outlet with more than 100 branded shops. A car is needed to reach the place but a 30% discount in a designer shop is surely worth the 20",https://en.wikivoyage.org/wiki/Rome,Castel_Romano,2026-09-18T13:31:53+00:00
b6e1fe82348b7c7d,Rome,Italy,sleep,Camping,Camping Tiber,"Via Tiberina Km. 14, Prima Porta",,,+390633610733,,,,,"On the bank of the river from which it draws its name. To the north of the city. There's a minimarket, a pool, a restaurant and a bar.",https://en.wikivoyage.org/wiki/Rome,Camping_Tiber,2026-09-18T13:31:53+00:00
741aa1884a4a6a87,Rome,Italy,see,Embassies,United States of America,Via Vittorio Veneto 119/A,41.906583,12.490778,+390646741,uscitizensrome@state.gov,https://it.usembassy.gov/,Mon-Fri 08:30-17:30,,,https://en.wikivoyage.org/wiki/Rome,United_States_of_America,2026-09-18T13:31:53+00:00
1c56c1ed0acca001,Istanbul,Turkey,do,By plane,Istanbul Airport,,41.261,28.742,,,,,,"Istanbul's chief airport, and the main port of entry into Turkey, is 30 km northwest of the city in Arnavutköy, on the Europe-side Black Sea coast. It was opened in 2018 / 19 and replaced Atatürk Airport. It has a very wide range of international flights, by Turkish Airlines and other carriers, and domestic flights at least daily to all the major Turkish cities. There's car hire and the usual pas…",https://en.wikivoyage.org/wiki/Istanbul,Istanbul_Airport,2026-09-18T13:31:55+00:00
992aec2cd36ab611,Istanbul,Turkey,see,Tourism Police,Tourism Police,Divan Yolu Cd,41.00774,28.97703,+902125274503,istanbulturizm@egm.gov.tr,https://www.instagram.com/istanbultourismpolice?hl=en,,,,https://en.wikivoyage.org/wiki/Istanbul,mwAA,2026-09-18T13:31:55+00:00
cf396c65af426c85,Bangkok,Thailand,do,By plane,Suvarnabhumi Airport,,13.6925,100.75,,,http://suvarnabhumiairport.com/,,,"Space-age Suvarnabhumi Airport started operations in Sep 2006 and is now Bangkok's main airport and one of the busiest airports in Southeast Asia. It is used for international and domestic flights to Bangkok. There is only one terminal building, which covers both domestic and international flights. It is",https://en.wikivoyage.org/wiki/Bangkok,mwAA,2026-09-18T13:31:57+00:00
500d318fb16235f9,Bangkok,Thailand,see,Universities,Chulalongkorn University,,13.738361,100.532111,,,https://www.chula.ac.th/,,,The oldest and most prestigious institute of higher education in Thailand.,https://en.wikivoyage.org/wiki/Bangkok,Chulalongkorn_University,2026-09-18T13:31:57+00:00
af25f745f073bf6c,Bangkok,Thailand,eat,Dinner cruises,Chao Phraya Princess,"723 Supakarn Building, Charoen Nakhorn Rd",,,+662860-3700,,http://www.thaicruise.com/,Departure 19:30,"1,300 baht",Large operator with four modern air-conditioned boats seating up to 250 people. Departure from River City pier.,https://en.wikivoyage.org/wiki/Bangkok,Chao_Phraya_Princess,2026-09-18T13:31:57+00:00
b3ba3ce087c44310,Marrakech,Morocco,see,By taxi,Medina,,31.63318,-7.98869,,,,,,"The Medina is the old city quarter located within the sandstone city walls that give Marrakech the nickname the Red City. As an ancient hub, it contains a maze of narrow streets and outdoor marketplaces.",https://en.wikivoyage.org/wiki/Marrakech,Medina,2026-09-18T13:31:47+00:00
366429e0b79e244e,Marrakech,Morocco,do,By train,Train station,Avenue Hassan II,31.630507,-8.017482,+212447768,,,,,For train schedules check out the,https://en.wikivoyage.org/wiki/Marrakech,Train_station,2026-09-18T13:31:47+00:00
53a886723bba0189,Marrakech,Morocco,buy,Desert trekking,Chez Monseur Michelin,83 Riad Zitoun,31.625272,-7.985867,,,,,,Handmade bags and fashion items made from recycled tires and inner tubes.,https://en.wikivoyage.org/wiki/Marrakech,Chez_Monseur_Michelin,2026-09-18T13:31:47+00:00
c5264e8259bd1a07,Marrakech,Morocco,eat,Budget,Chez Yassine,70 Avenue Fatima Zohra,31.628835,-7.994112,,,,,30 dirham tagines,Not much choice but served by very friendly people. Tajines and pizzas are great and you can also order skewers that are not on the menu.,https://en.wikivoyage.org/wiki/Marrakech,Chez_Yassine,2026-09-18T13:31:47+00:00
4d1ef2f15c86c2cc,Marrakech,Morocco,drink,Splurge,Le Salama,40 Rue des Banques,31.626268,-7.98675,,reservations@lesalama.com,http://www.lesalama.blogspot.com/,11:00-13:00,,"Happy hour from 17:00 until they close, mostly western pop classics on the top floor. Very touristy with shishas, belly dancing and waiters who wear a fez - none of it is typically Moroccan but the overall atmosphere is between relaxed and party vibe. Also offers traditional Moroccan snacks. Good for smaller (up to 10 people) groups.",https://en.wikivoyage.org/wiki/Marrakech,Le_Salama,2026-09-18T13:31:47+00:00
15c444921e6070f3,Marrakech,Morocco,sleep,Splurge,Dar Jaguar,"7-8 Derb El Mesfioui, Rahba Kedima, Medina",31.628424,-7.98596,+212524445606,escape@darjaguar.com,https://www.darjaguar.com,,"From €99, breakfast included.","Dar Jaguar is an ancient riad that has been restored as a beautiful private guesthouse. It is situated in the heart of the old medina, neighbouring the exotic Place des Epices (spice market).",https://en.wikivoyage.org/wiki/Marrakech,Dar_Jaguar,2026-09-18T13:31:47+00:00
61476beca4b9a7f8,Paris,France,do,By bus,Flixbus,,48.83606,2.37965,+4930300137300,service@flixbus.com,https://www.flixbus.fr/bus/paris,,,"Originally a German company, they serve many routes in and out of Paris, both domestic and international with destinations in Germany, Belgium or even London. Note that although their main hub is Bercy Seine, some buses also go to other places in Paris.",https://en.wikivoyage.org/wiki/Paris,Flixbus,2026-09-18T13:31:49+00:00
